id,countryname,exports,imports,independence,militaryexpenditure,netmigration,area,internetusers,labourforce,population,agriproducts,areacomparative,background,capital,climate,economy,governmenttype,memberof,countrycode,nationality,coordinates
1,Afghanistan,$ 327 000 000,$ 4 850 000 000,19190819,1.9,21,652230,580000,15000000,33609937,opium wheat fruits nuts; wool mutton sheepskins lambskins,slightly smaller than Texas,Ahmad Shah DURRANI unified the Pashtun tribes and founded Afghanistan in 1747. The country served as a buffer between the British and Russian empires until it won independence from notional British control in 1919. A brief experiment in democracy ended in a 1973 coup and a 1978 Communist counter-coup. The Soviet Union invaded in 1979 to support the tottering Afghan Communist regime touching off a long and destructive war. The USSR withdrew in 1989 under relentless pressure by internationally supported anti-Communist mujahedin rebels. A series of subsequent civil wars saw Kabul finally fall in 1996 to the Taliban a hardline Pakistani-sponsored movement that emerged in 1994 to end the country's civil war and anarchy. Following the 11 September 2001 terrorist attacks in New York City a US Allied and anti-Taliban Northern Alliance military action toppled the Taliban for sheltering Osama BIN LADIN. The UN-sponsored Bonn Conference in 2001 established a process for political reconstruction that included the adoption of a new constitution a presidential election in 2004 and National Assembly elections in 2005. In December 2004 Hamid KARZAI became the first democratically elected president of Afghanistan and the National Assembly was inaugurated the following December. Despite gains toward building a stable central government a resurgent Taliban and continuing provincial instability - particularly in the south and the east - remain serious challenges for the Afghan Government.,name: Kabul geographic coordinates: 34 31 N 69 11 E time difference: UTC+4.5 (9.5 hours ahead of Washington DC during Standard Time),arid to semiarid; cold winters and hot summers,Afghanistan's economy is recovering from decades of conflict. The economy has improved significantly since the fall of the Taliban regime in 2001 largely because of the infusion of international assistance the recovery of the agricultural sector and service sector growth. Real GDP growth exceeded 7% in 2008. Despite the progress of the past few years Afghanistan is extremely poor landlocked and highly dependent on foreign aid agriculture and trade with neighboring countries. Much of the population continues to suffer from shortages of housing clean water electricity medical care and jobs. Criminality insecurity and the Afghan Government's inability to extend rule of law to all parts of the country pose challenges to future economic growth. It will probably take the remainder of the decade and continuing donor aid and attention to significantly raise Afghanistan's living standards from its current level among the lowest in the world. International pledges made by more than 60 countries and international financial institutions at the Berlin Donors Conference for Afghan reconstruction in March 2004 reached $8.9 billion for 2004-09. While the international community remains committed to Afghanistan's development pledging over $57 billion at three donors' conferences since 2002 Kabul will need to overcome a number of challenges. Expanding poppy cultivation and a growing opium trade generate roughly $3 billion in illicit economic activity and looms as one of Kabul's most serious policy concerns. Other long-term challenges include: budget sustainability job creation corruption government capacity and rebuilding war torn infrastructure.,Islamic republic,ADB CP ECO FAO G-77 IAEA IBRD ICAO ICCt IDA IDB IFAD IFC IFRCS ILO IMF Interpol IOC IOM ISO (correspondent) ITSO ITU MIGA NAM OIC OPCW OSCE (partner) SAARC SACEP SCO (guest) UN UNCTAD UNESCO UNIDO UNWTO UPU WCO WFTU WHO WIPO WMO WTO (observer),af,noun: Afghan(s) adjective: Afghan,33 00 N 65 00 E
2,Akrotiri,,,,,,123,,,15700,,about 0.7 times the size of Washington DC,By terms of the 1960 Treaty of Establishment that created the independent Republic of Cyprus the UK retained full sovereignty and jurisdiction over two areas of almost 254 square kilometers - Akrotiri and Dhekelia. The southernmost and smallest of these is the Akrotiri Sovereign Base Area which is also referred to as the Western Sovereign Base Area.,name: Episkopi Cantonment (base administrative center for Akrotiri and Dhekelia) geographic coordinates: 34 40 N 32 51 E time difference: UTC+2 (7 hours ahead of Washington DC during Standard Time) daylight saving time: +1hr begins last Sunday in March; ends last Sunday in October,temperate; Mediterranean with hot dry summers and cool winters,Economic activity is limited to providing services to the military and their families located in Akrotiri. All food and manufactured goods must be imported.,,,,,34 37 N 32 58 E
3,Albania,$ 1 345 000 000,$ 4 898 000 000,19121128,1.49,-4.28,28748,471200,1441000,3639453,wheat corn potatoes vegetables fruits sugar beets grapes; meat dairy products,slightly smaller than Maryland,Albania declared its independence from the Ottoman Empire in 1912 but was conquered by Italy in 1939. Communist partisans took over the country in 1944. Albania allied itself first with the USSR (until 1960) and then with China (to 1978). In the early 1990s Albania ended 46 years of xenophobic Communist rule and established a multiparty democracy. The transition has proven challenging as successive governments have tried to deal with high unemployment widespread corruption a dilapidated physical infrastructure powerful organized crime networks and combative political opponents. Albania has made progress in its democratic development since first holding multiparty elections in 1991 but deficiencies remain. International observers judged elections to be largely free and fair since the restoration of political stability following the collapse of pyramid schemes in 1997; however there have been claims of electoral fraud in every one of Albania's post-communist elections. In the 2005 general elections the Democratic Party and its allies won a decisive victory on pledges to reduce crime and corruption promote economic growth and decrease the size of government. The election and particularly the orderly transition of power was considered an important step forward. Albania joined NATO in April 2009 and is a potential candidate for EU accession. Although Albania's economy continues to grow the country is still one of the poorest in Europe hampered by a large informal economy and an inadequate energy and transportation infrastructure.,name: Tirana (Tirane) geographic coordinates: 41 19 N 19 49 E time difference: UTC+1 (6 hours ahead of Washington DC during Standard Time) daylight saving time: +1hr begins last Sunday in March; ends last Sunday in October,mild temperate; cool cloudy wet winters; hot clear dry summers; interior is cooler and wetter,Lagging behind its Balkan neighbors Albania is making the difficult transition to a more modern open-market economy. Macroeconomic growth has averaged around 5% over the last five years and inflation is low and stable. The government has taken measures to curb violent crime and recently adopted a fiscal reform package aimed at reducing the large gray economy and attracting foreign investment. The economy is bolstered by annual remittances from abroad representing about 15% of GDP mostly from Albanians residing in Greece and Italy; this helps offset the towering trade deficit. The agricultural sector which accounts for over half of employment but only about one-fifth of GDP is limited primarily to small family operations and subsistence farming because of lack of modern equipment unclear property rights and the prevalence of small inefficient plots of land. Energy shortages because of a reliance on hydropower and antiquated and inadequate infrastructure contribute to Albania's poor business environment and lack of success in attracting new foreign investment. The completion of a new thermal power plant near Vlore has helped diversify generation capacity and plans to upgrade transmission lines between Albania and Montenegro and Kosovo would help relieve the energy shortages. Also with help from EU funds the government is taking steps to improve the poor national road and rail network a long-standing barrier to sustained economic growth.,emerging democracy,BSEC CE CEI EAPC EBRD FAO IAEA IBRD ICAO ICCt ICRM IDA IDB IFAD IFC IFRCS ILO IMF IMO Interpol IOC IOM IPU ISO (correspondent) ITU ITUC MIGA NATO OIC OIF OPCW OSCE SECI UN UNCTAD UNESCO UNIDO UNOMIG UNWTO UPU WCO WFTU WHO WIPO WMO WTO,al,noun: Albanian(s) adjective: Albanian,41 00 N 20 00 E
4,Algeria,$ 78 230 000 000,$ 39 160 000 000,19620705,3.3,-0.29,2381741,3500000,9464000,34178188,wheat barley oats grapes olives citrus fruits; sheep cattle,slightly less than 3.5 times the size of Texas,After more than a century of rule by France Algerians fought through much of the 1950s to achieve independence in 1962. Algeria's primary political party the National Liberation Front (FLN) has dominated politics ever since. Many Algerians in the subsequent generation were not satisfied however and moved to counter the FLN's centrality in Algerian politics. The surprising first round success of the Islamic Salvation Front (FIS) in the December 1991 balloting spurred the Algerian army to intervene and postpone the second round of elections to prevent what the secular elite feared would be an extremist-led government from assuming power. The army began a crackdown on the FIS that spurred FIS supporters to begin attacking government targets. The government later allowed elections featuring pro-government and moderate religious-based parties but did not appease the activists who progressively widened their attacks. The fighting escalated into an insurgency which saw intense fighting between 1992-98 and which resulted in over 100 000 deaths - many attributed to indiscriminate massacres of villagers by extremists. The government gained the upper hand by the late-1990s and FIS's armed wing the Islamic Salvation Army disbanded in January 2000. However small numbers of armed militants persist in confronting government forces and conducting ambushes and occasional attacks on villages. The army placed Abdelaziz BOUTEFLIKA in the presidency in 1999 in a fraudulent election but claimed neutrality in his 2004 landslide reelection victory. Longstanding problems continue to face BOUTEFLIKA in his second term including large-scale unemployment a shortage of housing unreliable electrical and water supplies government inefficiencies and corruption and the continuing activities of extremist militants. The Salafist Group for Preaching and Combat (GSPC) in 2006 merged with al-Qaida to form al-Qaida in the Lands of the Islamic Maghreb which since has launched an ongoing series of kidnappings and bombings - including high-profile mass-casualty suicide attacks targeted against the Algerian government and Western interests. Algeria must also diversify its petroleum-based economy which has yielded a large cash reserve but which has not been used to redress Algeria's many social and infrastructure problems.,name: Algiers geographic coordinates: 36 45 N 3 03 E time difference: UTC+1 (6 hours ahead of Washington DC during Standard Time),arid to semiarid; mild wet winters with hot dry summers along coast; drier with cold winters and hot summers on high plateau; sirocco is a hot dust/sand-laden wind especially common in summer,The hydrocarbons sector is the backbone of the economy accounting for roughly 60% of budget revenues 30% of GDP and over 95% of export earnings. Algeria has the eighth-largest reserves of natural gas in the world and is the fourth-largest gas exporter; it ranks 15th in oil reserves. Sustained high oil prices in recent years have helped improve Algeria's financial and macroeconomic indicators. Algeria is running substantial trade surpluses and building up record foreign exchange reserves. Algeria has decreased its external debt to less than 5% of GDP after repaying its Paris Club and London Club debt in 2006. Real GDP has risen due to higher oil output and increased government spending. The government's continued efforts to diversify the economy by attracting foreign and domestic investment outside the energy sector however has had little success in reducing high unemployment and improving living standards. Structural reform within the economy such as development of the banking sector and the construction of infrastructure moves ahead slowly hampered by corruption and bureaucratic resistance.,republic,ABEDA AfDB AFESD AMF AMU AU BIS FAO G-15 G-24 G-77 IAEA IBRD ICAO ICC ICCt (signatory) ICRM IDA IDB IFAD IFC IFRCS IHO ILO IMF IMO IMSO Interpol IOC IOM IPU ISO ITSO ITU ITUC LAS MIGA MONUC NAM OAPEC OAS (observer) OIC OPCW OPEC OSCE (partner) UN UNCTAD UNESCO UNHCR UNIDO UNITAR UNWTO UPU WCO WFTU WHO WIPO WMO WTO (observer),dz,noun: Algerian(s) adjective: Algerian,28 00 N 3 00 E
5,American Samoa,$ 445 600 000,$ 308 800 000,,,-6.99,199,,17630,65628,bananas coconuts vegetables taro breadfruit yams copra pineapples papayas; dairy products livestock,slightly larger than Washington DC,"Settled as early as 1000 B.C. Samoa was ""discovered"" by European explorers in the 18th century. International rivalries in the latter half of the 19th century were settled by an 1899 treaty in which Germany and the US divided the Samoan archipelago. The US formally occupied its portion - a smaller group of eastern islands with the excellent harbor of Pago Pago - the following year.",name: Pago Pago geographic coordinates: 14 16 S 170 42 W time difference: UTC-11 (6 hours behind Washington DC during Standard Time),tropical marine moderated by southeast trade winds; annual rainfall averages about 3 m; rainy season (November to April) dry season (May to October); little seasonal temperature variation,American Samoa has a traditional Polynesian economy in which more than 90% of the land is communally owned. Economic activity is strongly linked to the US with which American Samoa conducts most of its commerce. Tuna fishing and tuna processing plants are the backbone of the private sector with canned tuna the primary export. Transfers from the US Government add substantially to American Samoa's economic well being. Attempts by the government to develop a larger and broader economy are restrained by Samoa's remote location its limited transportation and its devastating hurricanes. Tourism is a promising developing sector.,,Interpol (subbureau) IOC SPC UPU,as,noun: American Samoan(s) (US nationals) adjective: American Samoan,14 20 S 170 00 W
6,Andorra,$ 117 100 000,$ 1 789 000 000,,,6.89,468,58900,42230,83888,small quantities of rye wheat barley oats vegetables; sheep,2.5 times the size of Washington DC,For 715 years from 1278 to 1993 Andorrans lived under a unique co-principality ruled by French and Spanish leaders (from 1607 onward the French chief of state and the Spanish bishop of Urgel). In 1993 this feudal system was modified with the titular heads of state retained but the government transformed into a parliamentary democracy. Long isolated and impoverished mountainous Andorra achieved considerable prosperity since World War II through its tourist industry. Many immigrants (legal and illegal) are attracted to the thriving economy with its lack of income taxes.,name: Andorra la Vella geographic coordinates: 42 30 N 1 31 E time difference: UTC+1 (6 hours ahead of Washington DC during Standard Time) daylight saving time: +1hr begins last Sunday in March; ends last Sunday in October,temperate; snowy cold winters and warm dry summers,"Tourism the mainstay of Andorra's tiny well-to-do economy accounts for more than 80% of GDP. An estimated 11.6 million tourists visit annually attracted by Andorra's duty-free status and by its summer and winter resorts. Andorra's comparative advantage has recently eroded as the economies of neighboring France and Spain have been opened up providing broader availability of goods and lower tariffs. The banking sector with its partial ""tax haven"" status also contributes substantially to the economy. Agricultural production is limited - only 2% of the land is arable - and most food has to be imported. The principal livestock activity is sheep raising. Manufacturing output consists mainly of cigarettes cigars and furniture. Andorra is a member of the EU Customs Union and is treated as an EU member for trade in manufactured goods (no tariffs) and as a non-EU member for agricultural products.",parliamentary democracy (since March 1993) that retains as its chiefs of state a coprincipality; the two princes are the president of France and bishop of Seo de Urgel Spain who are represented locally by coprinces' representatives,CE FAO ICAO ICCt ICRM IFRCS Interpol IOC IPU ITU OIF OPCW OSCE UN UNCTAD UNESCO Union Latina UNWTO WCO WHO WIPO WTO (observer),ad,noun: Andorran(s) adjective: Andorran,42 30 N 1 30 E
7,Angola,$ 67 200 000 000,$ 17 080 000 000,19751111,5.7,1.34,1246700,100000,7569000,12799293,bananas sugarcane coffee sisal corn cotton manioc (tapioca) tobacco vegetables plantains; livestock; forest products; fish,slightly less than twice the size of Texas,Angola is rebuilding its country after the end of a 27-year civil war in 2002. Fighting between the Popular Movement for the Liberation of Angola (MPLA) led by Jose Eduardo DOS SANTOS and the National Union for the Total Independence of Angola (UNITA) led by Jonas SAVIMBI followed independence from Portugal in 1975. Peace seemed imminent in 1992 when Angola held national elections but fighting picked up again by 1996. Up to 1.5 million lives may have been lost - and 4 million people displaced - in the quarter century of fighting. SAVIMBI's death in 2002 ended UNITA's insurgency and strengthened the MPLA's hold on power. President DOS SANTOS held legislative elections in September 2008 and announced plans to hold presidential elections in 2009.,name: Luanda geographic coordinates: 8 50 S 13 14 E time difference: UTC+1 (6 hours ahead of Washington DC during Standard Time),semiarid in south and along coast to Luanda; north has cool dry season (May to October) and hot rainy season (November to April),Angola's high growth rate is driven by its oil sector which has taken advantage of high international oil prices. Oil production and its supporting activities contribute about 85% of GDP. Increased oil production supported growth averaging more than 15% per year from 2004 to 2007. A postwar reconstruction boom and resettlement of displaced persons has led to high rates of growth in construction and agriculture as well. Much of the country's infrastructure is still damaged or undeveloped from the 27-year-long civil war. Remnants of the conflict such as widespread land mines still mar the countryside even though an apparently durable peace was established after the death of rebel leader Jonas SAVIMBI in February 2002. Subsistence agriculture provides the main livelihood for most of the people but half of the country's food must still be imported. In 2005 the government started using a $2 billion line of credit since increased to $7 billion from China to rebuild Angola's public infrastructure and several large-scale projects were completed in 2006. Angola also has large credit lines from Brazil Portugal Germany Spain and the EU. The central bank in 2003 implemented an exchange rate stabilization program using foreign exchange reserves to buy kwanzas out of circulation. This policy became more sustainable in 2005 because of strong oil export earnings; it has significantly reduced inflation. Although consumer inflation declined from 325% in 2000 to under 13% in 2008 the stabilization policy has put pressure on international net liquidity. Angola became a member of OPEC in late 2006 and in late 2007 was assigned a production quota of 1.9 million barrels a day somewhat less than the 2-2.5 million bbl Angola's government had wanted. To fully take advantage of its rich national resources - gold diamonds extensive forests Atlantic fisheries and large oil deposits - Angola will need to implement government reforms increase transparency and reduce corruption. The government has rejected a formal IMF monitored program although it continues Article IV consultations and ad hoc cooperation. Corruption especially in the extractive sectors and the negative effects of large inflows of foreign exchange are major challenges facing Angola.,republic; multiparty presidential regime,ACP AfDB AU CPLP FAO G-77 IAEA IBRD ICAO ICCt (signatory) ICRM IDA IFAD IFC IFRCS ILO IMF IMO Interpol IOC IOM IPU ISO (correspondent) ITSO ITU ITUC MIGA NAM OAS (observer) OPEC SADC UN UNCTAD UNESCO UNIDO Union Latina UNWTO UPU WCO WFTU WHO WIPO WMO WTO,ao,noun: Angolan(s) adjective: Angolan,12 30 S 18 30 E
8,Anguilla,$ 13 000 000,$ 143 000 000,,,14.06,91,3000,6049,14436,small quantities of tobacco vegetables; cattle raising,about one-half the size of Washington DC,Colonized by English settlers from Saint Kitts in 1650 Anguilla was administered by Great Britain until the early 19th century when the island - against the wishes of the inhabitants - was incorporated into a single British dependency along with Saint Kitts and Nevis. Several attempts at separation failed. In 1971 two years after a revolt Anguilla was finally allowed to secede; this arrangement was formally recognized in 1980 with Anguilla becoming a separate British dependency.,name: The Valley geographic coordinates: 18 13 N 63 03 W time difference: UTC-4 (1 hour ahead of Washington DC during Standard Time),tropical; moderated by northeast trade winds,Anguilla has few natural resources and the economy depends heavily on luxury tourism offshore banking lobster fishing and remittances from emigrants. Increased activity in the tourism industry has spurred the growth of the construction sector contributing to economic growth. Anguillan officials have put substantial effort into developing the offshore financial sector which is small but growing. In the medium term prospects for the economy will depend largely on the tourism sector and therefore on revived income growth in the industrialized nations as well as on favorable weather conditions.,,Caricom (associate) CDB Interpol (subbureau) OECS UPU WFTU,ai,noun: Anguillan(s) adjective: Anguillan,18 15 N 63 10 W
9,Antarctica,,,,,,14000000,,,,,slightly less than 1.5 times the size of the US,"Speculation over the existence of a ""southern land"" was not confirmed until the early 1820s when British and American commercial operators and British and Russian national expeditions began exploring the Antarctic Peninsula region and other areas south of the Antarctic Circle. Not until 1840 was it established that Antarctica was indeed a continent and not just a group of islands. Several exploration ""firsts"" were achieved in the early 20th century. Following World War II there was an upsurge in scientific research on the continent. A number of countries have set up a range of year-round and seasonal stations camps and refuges to support scientific research in Antarctica. Seven have made territorial claims but not all countries recognize these claims. In order to form a legal framework for the activities of nations on the continent an Antarctic Treaty was negotiated that neither denies nor gives recognition to existing territorial claims; signed in 1959 it entered into force in 1961.",,severe low temperatures vary with latitude elevation and distance from the ocean; East Antarctica is colder than West Antarctica because of its higher elevation; Antarctic Peninsula has the most moderate climate; higher temperatures occur in January along the coast and average slightly below freezing,Fishing off the coast and tourism both based abroad account for Antarctica's limited economic activity. Antarctic fisheries in 2006-07 (1 July-30 June) reported landing 126 976 metric tons (estimated fishing from the area covered by the Convention on the Conservation of Antarctic Marine Living Resources (CCAMLR) which extends slightly beyond the Antarctic Treaty area). Unregulated fishing particularly of Patagonian toothfish (Dissostichus eleginoides - also known as Chilean sea bass) is a serious problem. The CCAMLR determines the recommended catch limits for marine species. A total of 45 652 tourists visited the Antarctic Treaty area in the 2007-08 Antarctic summer up from the 36 460 visitors in 2006-2007 and the 30 877 visitors in 2005-2006 (estimates provided to the Antarctic Treaty by the International Association of Antarctica Tour Operators (IAATO); this does not include passengers on overflights). Nearly all of them were passengers on commercial (nongovernmental) ships and several yachts that make trips during the summer. Most tourist trips last approximately two weeks.,Antarctic Treaty Summary - the Antarctic Treaty signed on 1 December 1959 and entered into force on 23 June 1961 establishes the legal framework for the management of Antarctica; the 32nd Antarctic Treaty Consultative Meeting was held in Baltimore MD USA in April 2009; at these periodic meetings decisions are made by consensus (not by vote) of all consultative member nations; by May 2009 there were 47 treaty member nations: 28 consultative and 19 non-consultative; consultative (decision-making) members include the seven nations that claim portions of Antarctica as national territory (some claims overlap) and 21 non-claimant nations; the US and Russia have reserved the right to make claims; the US does not recognize the claims of others; Antarctica is administered through meetings of the consultative member nations; decisions from these meetings are carried out by these member nations (with respect to their own nationals and operations) in accordance with their own national laws; the years in parentheses indicate when a consultative member-nation acceded to the Treaty and when it was accepted as a consultative member while no date indicates the country was an original 1959 treaty signatory; claimant nations are - Argentina Australia Chile France NZ Norway and the UK. Nonclaimant consultative nations are - Belgium Brazil (1975/1983) Bulgaria (1978/1998) China (1983/1985) Ecuador (1987/1990) Finland (1984/1989) Germany (1979/1981) India (1983/1983) Italy (1981/1987) Japan South Korea (1986/1989) Netherlands (1967/1990) Peru (1981/1989) Poland (1961/1977) Russia South Africa Spain (1982/1988) Sweden (1984/1988) Ukraine (1992/2004) Uruguay (1980/1985) and the US; non-consultative members with year of accession in parentheses are - Austria (1987) Belarus (2006) Canada (1988) Colombia (1989) Cuba (1984) Czech Republic (1962/1993) Denmark (1965) Estonia (2001) Greece (1987) Guatemala (1991) Hungary (1984) North Korea (1987) Monaco (2008) Papua New Guinea (1981) Romania (1971) Slovakia (1962/1993) Switzerland (1990) Turkey (1996) and Venezuela (1999); note - Czechoslovakia acceded to the Treaty in 1962 and separated into the Czech Republic and Slovakia in 1993; Article 1 - area to be used for peaceful purposes only; military activity such as weapons testing is prohibited but military personnel and equipment may be used for scientific research or any other peaceful purpose; Article 2 - freedom of scientific investigation and cooperation shall continue; Article 3 - free exchange of information and personnel cooperation with the UN and other international agencies; Article 4 - does not recognize dispute or establish territorial claims and no new claims shall be asserted while the treaty is in force; Article 5 - prohibits nuclear explosions or disposal of radioactive wastes; Article 6 - includes under the treaty all land and ice shelves south of 60 degrees 00 minutes south and reserves high seas rights; Article 7 - treaty-state observers have free access including aerial observation to any area and may inspect all stations installations and equipment; advance notice of all expeditions and of the introduction of military personnel must be given; Article 8 - allows for jurisdiction over observers and scientists by their own states; Article 9 - frequent consultative meetings take place among member nations; Article 10 - treaty states will discourage activities by any country in Antarctica that are contrary to the treaty; Article 11 - disputes to be settled peacefully by the parties concerned or ultimately by the ICJ; Articles 12 13 14 - deal with upholding interpreting and amending the treaty among involved nations; other agreements - some 200 recommendations adopted at treaty consultative meetings and ratified by governments include - Agreed Measures for Fauna and Flora (1964) which were later incorporated into the Environmental Protocol; Convention for the Conservation of Antarctic Seals (1972); Convention on the Conservation of Antarctic Marine Living Resources (1980); a mineral resources agreement was signed in 1988 but remains unratified; the Protocol on Environmental Protection to the Antarctic Treaty was signed 4 October 1991 and entered into force 14 January 1998; this agreement provides for the protection of the Antarctic environment through six specific annexes: 1) environmental impact assessment 2) conservation of Antarctic fauna and flora 3) waste disposal and waste management 4) prevention of marine pollution 5) area protection and management and 6) liability arising from environmental emergencies; it prohibits all activities relating to mineral resources except scientific research; a permanent Antarctic Treaty Secretariat was established in 2004 in Buenos Aires Argentina,,aq,,90 00 S 0 00 E
10,Antigua and Barbuda,$ 84 300 000,$ 522 800 000,19811101,,2.38,443,60000,30000,85632,cotton fruits vegetables bananas coconuts cucumbers mangoes sugarcane; livestock,2.5 times the size of Washington DC,The Siboney were the first to inhabit the islands of Antigua and Barbuda in 2400 B.C. but Arawak Indians populated the islands when COLUMBUS landed on his second voyage in 1493. Early settlements by the Spanish and French were succeeded by the English who formed a colony in 1667. Slavery established to run the sugar plantations on Antigua was abolished in 1834. The islands became an independent state within the British Commonwealth of Nations in 1981.,name: Saint John's geographic coordinates: 17 07 N 61 51 W time difference: UTC-4 (1 hour ahead of Washington DC during Standard Time),tropical maritime; little seasonal temperature variation,Antigua has a relatively high GDP per capita in comparison to most other Caribbean nations. The economy experienced solid growth from 2003 to 2007 reaching over 12% in 2006 driven by a construction boom in hotels and housing associated with the Cricket World Cup. Growth dropped off in 2008 with the end of the boom. Tourism continues to dominate the economy accounting for nearly 60% of GDP and 40% of investment. The dual-island nation's agricultural production is focused on the domestic market and constrained by a limited water supply and a labor shortage stemming from the lure of higher wages in tourism and construction. Manufacturing comprises enclave-type assembly for export with major products being bedding handicrafts and electronic components. Prospects for economic growth in the medium term will continue to depend on tourist arrivals from the US Canada and Europe and potential damages from natural disasters. Since taking office in 2004 the SPENCER government has adopted an ambitious fiscal reform program and has been successful in reducing its public debt-to-GDP ratio from 120% to about 90%.,constitutional monarchy with a parliamentary system of government and a Commonwealth realm,ACP C Caricom CDB FAO G-77 IBRD ICAO ICCt ICRM IDA IFAD IFC IFRCS ILO IMF IMO Interpol IOC ISO (subscriber) ITU ITUC MIGA NAM OAS OECS OPANAL OPCW UN UNCTAD UNESCO UPU WCL WFTU WHO WIPO WMO WTO,ag,noun: Antiguan(s) Barbudan(s) adjective: Antiguan Barbudan,17 03 N 61 48 W
